28 83 124
24 25 57
56 57 48
22 55 21
44 144 43
56 55 22
78 21 55
91 17 18
22 23 56
84 30 31
57 25 79
128 39 40
37 38 97
26 27 124
79 58 48
68 69 52
70 69 35
59 81 82
36 70 35
208 121 116
71 170 142
80 112 114
88 90 137
89 131 132
89 63 88
172 207 173
198 183 241
88 15 16
66 13 93
102 5 6
89 64 131
128 40 127
99 101 151
12 13 66
65 66 51
184 209 185
162 139 78
65 67 94
9 10 94
57 56 23
10 11 65
108 48 58
94 95 9
163 164 239
21 78 20
60 85 183
68 33 34
142 141 52
130 175 87
68 34 69
69 70 52
13 14 93
12 66 11
36 37 70
51 90 207
69 34 35
70 37 97
66 65 11
92 138 139
71 38 39
127 40 41
63 90 88
89 132 63
212 129 227
18 138 91
52 97 71
65 51 67
7 8 130
24 57 23
87 174 152
100 73 99
25 26 79
109 108 58
99 3 4
76 1 104
107 78 55
100 74 145
29 81 28
45 46 105
135 156 179
214 194 200
75 77 105
75 76 54
126 85 125
31 125 84
0 1 76
86 127 129
75 46 47
45 105 106
81 83 28
145 146 100
82 60 116
84 85 60
55 56 48
147 193 191
86 129 171
100 146 73
73 101 99
103 158 130
157 155 153
76 75 47
75 54 77
0 76 47
1 2 104
54 101 209
144 189 98
110 107 55
243 91 92
58 79 26
48 57 79
113 112 109
109 112 80
29 30 123
83 81 59
123 81 29
82 123 84
108 109 80
83 58 124
125 31 32
82 84 60
126 32 33
141 68 52
129 41 42
169 128 86
95 8 9
87 152 103
136 16 17
173 63 132
136 88 16
89 136 91
93 90 51
15 137 14
138 18 19
89 91 64
139 19 20
80 160 107
93 14 137
51 66 93
65 94 10
95 94 67
176 172 178
95 175 130
49 116 121
180 126 68
71 97 38
52 70 97
106 44 45
171 61 201
150 4 5
185 73 146
150 99 4
100 150 102
104 101 54
3 151 2
6 7 158
100 102 74
74 102 103
102 6 158
104 2 151
54 76 104
75 105 46
106 105 77
190 184 192
106 189 144
110 55 48
80 114 160
109 58 83
110 80 107
83 59 109
117 113 115
80 110 108
48 108 110
111 117 119
219 237 236
113 109 59
114 112 111
115 113 59
111 112 113
119 165 111
196 139 162
82 115 59
117 115 49
49 115 116
82 116 115
122 167 49
113 117 111
49 121 122
153 221 223
49 119 117
165 119 240
204 202 206
120 197 122
208 116 60
122 121 120
208 183 120
119 167 118
84 123 30
81 123 82
26 124 58
28 124 27
126 125 32
84 125 85
33 68 126
141 143 180
129 127 41
128 127 86
86 201 169
128 71 39
42 43 227
187 72 188
95 130 8
103 130 87
131 64 233
131 50 132
134 135 133
132 50 134
177 174 140
51 207 67
135 134 50
178 173 133
233 237 230
220 153 155
91 136 17
88 136 89
88 137 15
93 137 90
139 138 19
91 138 92
20 78 139
162 78 107
67 176 95
177 140 178
142 52 71
141 96 143
170 128 169
96 141 142
96 204 143
85 126 182
106 144 44
144 98 234
154 153 223
145 53 146
148 149 147
146 53 148
191 187 159
54 209 77
149 148 53
192 185 147
145 154 53
168 225 167
102 150 5
99 150 100
99 151 3
104 151 101
152 62 155
103 152 157
156 155 62
135 210 156
145 74 154
155 157 152
179 62 177
157 153 154
229 231 210
155 156 220
154 74 157
103 157 74
130 158 7
102 158 103
77 190 106
191 159 192
160 114 163
107 160 162
114 111 165
239 238 161
163 162 160
196 162 161
164 163 114
162 163 161
232 235 231
50 233 230
240 119 118
164 114 165
193 216 72
199 122 197
49 167 119
168 167 122
149 195 193
222 221 220
202 169 61
170 96 142
128 170 71
96 170 169
234 212 227
194 215 195
173 90 63
177 178 133
132 134 173
133 173 134
152 174 62
175 174 87
176 175 95
174 175 140
172 176 67
175 176 140
179 177 133
174 177 62
176 178 140
178 172 173
135 179 133
62 179 156
141 180 68
182 180 143
202 96 169
206 197 198
180 182 126
182 241 183
85 182 183
182 143 241
185 101 73
191 192 147
146 148 185
147 185 148
225 211 235
228 213 244
195 215 216
189 187 98
129 212 171
187 188 234
190 189 106
187 189 159
184 190 77
189 190 159
193 147 149
187 191 72
190 192 159
192 184 185
195 228 194
72 191 193
200 168 199
205 214 217
195 149 224
215 194 214
238 196 161
139 196 92
198 197 120
199 197 166
183 198 120
198 181 206
200 199 166
122 199 168
166 203 217
211 225 226
171 201 86
61 169 201
203 202 61
202 203 206
203 61 205
206 203 166
204 181 241
96 202 204
61 171 218
188 216 242
206 166 197
204 206 181
173 207 90
67 207 172
121 208 120
60 183 208
185 209 101
77 209 184
229 210 135
221 222 213
168 200 226
210 231 186
42 227 129
242 212 188
221 213 224
211 226 244
217 214 200
215 214 205
205 218 242
216 188 72
195 216 193
216 215 242
166 217 200
203 205 217
212 242 171
205 61 218
229 135 230
235 232 118
156 210 220
210 186 222
228 224 213
153 220 221
210 222 220
213 222 186
149 53 223
154 223 53
149 223 224
221 224 223
167 225 118
226 225 168
200 194 226
194 228 244
144 227 43
227 144 234
224 228 195
213 186 244
230 135 50
229 219 231
50 131 233
219 229 230
231 219 232
211 186 231
219 236 232
240 164 165
233 243 238
238 239 237
187 234 98
212 234 188
225 235 118
231 235 211
219 230 237
240 236 164
237 233 238
164 236 237
243 233 64
238 243 196
163 239 161
164 237 239
118 232 240
240 232 236
204 241 143
198 241 181
205 242 215
171 242 218
91 243 64
196 243 92
211 244 186
194 244 226
